cohort_month,month_offset,cohort_customers,active_customers,retention_pct
2016-10,0,290,290,100.00
2016-10,6,290,1,0.34
2016-10,9,290,1,0.34
2016-10,11,290,1,0.34
2016-10,13,290,1,0.34
2016-10,15,290,1,0.34
2016-10,17,290,1,0.34
2016-10,19,290,2,0.69
2016-10,20,290,2,0.69
2017-01,0,752,752,100.00
2017-01,1,752,3,0.40
2017-01,2,752,2,0.27
2017-01,3,752,1,0.13
2017-01,4,752,3,0.40
2017-01,5,752,1,0.13
2017-01,6,752,3,0.40
2017-01,7,752,1,0.13
2017-01,8,752,1,0.13
2017-01,10,752,3,0.40
2017-01,11,752,1,0.13
2017-01,12,752,5,0.66
2017-01,13,752,3,0.40
2017-01,14,752,1,0.13
2017-01,15,752,1,0.13
2017-01,16,752,2,0.27
2017-01,17,752,3,0.40
2017-01,19,752,1,0.13
2017-02,0,1690,1690,100.00
2017-02,1,1690,4,0.24
2017-02,2,1690,5,0.30
2017-02,3,1690,2,0.12
2017-02,4,1690,7,0.41
2017-02,5,1690,2,0.12
2017-02,6,1690,4,0.24
2017-02,7,1690,3,0.18
2017-02,8,1690,2,0.12
2017-02,9,1690,3,0.18
2017-02,10,1690,2,0.12
2017-02,11,1690,5,0.30
2017-02,12,1690,2,0.12
2017-02,13,1690,3,0.18
2017-02,14,1690,2,0.12
2017-02,15,1690,1,0.06
2017-02,16,1690,1,0.06
2017-02,17,1690,4,0.24
2017-03,0,2571,2571,100.00
2017-03,1,2571,13,0.51
2017-03,2,2571,9,0.35
2017-03,3,2571,10,0.39
2017-03,4,2571,9,0.35
2017-03,5,2571,4,0.16
2017-03,6,2571,4,0.16
2017-03,7,2571,8,0.31
2017-03,8,2571,9,0.35
2017-03,9,2571,2,0.08
2017-03,10,2571,10,0.39
2017-03,11,2571,3,0.12
2017-03,12,2571,6,0.23
2017-03,13,2571,3,0.12
2017-03,14,2571,4,0.16
2017-03,15,2571,6,0.23
2017-03,16,2571,2,0.08
2017-03,17,2571,4,0.16
2017-04,0,2325,2325,100.00
2017-04,1,2325,14,0.60
2017-04,2,2325,5,0.22
2017-04,3,2325,4,0.17
2017-04,4,2325,7,0.30
2017-04,5,2325,6,0.26
2017-04,6,2325,8,0.34
2017-04,7,2325,7,0.30
2017-04,8,2325,7,0.30
2017-04,9,2325,4,0.17
2017-04,10,2325,6,0.26
2017-04,11,2325,2,0.09
2017-04,12,2325,2,0.09
2017-04,13,2325,1,0.04
2017-04,14,2325,2,0.09
